PAE,kmain(),after recv(),after send()
17644,18222,43114,101018
17656,18246,43592,102106
17650,18234,43396,103464
18126,18670,43994,102752
17722,18282,43824,103722
15186,15670,37438,90300
15880,16370,37960,89524
15572,16054,37924,90330
15544,16042,37630,88146
15360,15838,37648,87508
15156,15658,37164,86352
15096,15578,37394,86198
54504,55970,131152,274292
51238,52660,123726,262660
47570,48966,117016,256472
47914,49332,117008,249192
46870,48246,115422,251082
46914,48352,115440,248894
48268,49686,117134,252214
47816,49270,116324,246858
46472,47926,115934,249194
34202,35216,83590,187204
33222,34242,82414,184496
33792,34832,83010,187500
33426,34424,82306,181432
34428,35454,84300,183242
33380,34446,83606,181202
33962,34980,82902,184614
33198,34242,82108,183390
33654,34676,82954,185490
23678,24436,59118,135394
23966,24686,99642,176236
23858,24612,59552,135392
24184,24916,59956,136972
23986,24754,60186,135272
24856,25582,59756,135524
23882,24632,58986,130924
24506,25226,60546,137044
24212,24954,59490,135014
24678,25410,60502,137046
17874,18452,44620,104298
17688,18226,44152,103374
18142,18702,45108,101906
17768,18310,44490,104282
17786,18354,44256,104248
17946,18484,44854,104586
57088,58562,136414,282854
48784,50192,122472,260736
48006,49440,121568,262836
47188,48680,116922,250898
47108,48608,116536,246416
46866,48318,117876,255424
47098,48554,116936,248884
46402,47810,115240,244738
46652,48110,115310,246930
33198,34256,83388,182798
33658,34732,83014,180400
34012,35094,84044,180384
33726,34844,83786,181172
33556,34632,83940,181778
33510,34580,82440,180236
33982,35026,83138,180440
33574,34666,82412,183646
33752,34792,83028,186130
23950,24724,58920,135130
24558,25318,59974,134654
24046,24834,59666,135178
24058,24830,59756,129510
24244,24984,59840,135804
24604,25362,59950,134818
24242,25000,59526,130200
23936,24692,59952,130268
24128,24900,59684,135504
24134,24880,59122,135962
17460,18024,43758,102284
18144,18728,44958,105230
17716,18298,43802,103374
17554,18134,43604,97524
18060,18648,44268,102984
17370,17932,43334,102186
17894,18464,44214,102280
17674,18240,43846,102086
17638,18204,43852,101252
18782,19364,46600,110150
18630,19218,45640,105912
15678,16188,38762,87660
15596,16114,38894,91038
15384,15890,38312,90722
54236,55702,131890,277030
48274,49674,121178,259568
47004,48378,117538,256394
48186,49616,117810,254106
46782,48230,115666,248430
46804,48220,115482,249176
46600,47986,114200,245932
46488,47922,114972,242866
46270,47676,114460,241050
47398,48832,116732,245120
46090,47510,114442,243740
33320,34354,82178,184210
33766,34802,83122,177534
33712,34748,83720,190320
33498,34534,82894,180156
56056,57478,130962,275142
49096,50502,120302,258500
47610,49018,117572,253920
47932,49350,117000,255174
48298,49720,116722,256618
52686,54106,129410,268642
48260,49690,120862,257362
47098,48550,117164,250248
47806,49218,117166,249680
46852,48316,115400,256566
47468,48942,116416,255936
47674,49100,115608,258084
47388,48794,115536,258994
47202,48598,114646,243554
47298,48724,114660,253946
33366,34442,82226,184834
33658,34716,82182,182652
33438,34502,83344,184446
34082,35156,84106,179682
