# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
324, 36, 212, 67432, 264, 324116, 840, 216
325, 36, 212, 67352, 264, 371264, 840, 220
326, 36, 212, 67124, 264, 324884, 844, 220
327, 36, 212, 67784, 268, 323688, 844, 216
328, 36, 212, 67380, 264, 324516, 844, 216
329, 36, 212, 67080, 264, 323080, 840, 220
330, 36, 212, 66884, 268, 323484, 840, 216
331, 36, 212, 67624, 264, 324056, 844, 220
332, 36, 212, 67292, 268, 324052, 840, 220
333, 36, 212, 67588, 264, 324616, 840, 220
334, 36, 212, 67300, 268, 323272, 844, 216
335, 36, 212, 67488, 264, 323916, 844, 216
336, 36, 212, 67224, 264, 323440, 840, 216
337, 36, 212, 67896, 264, 325752, 844, 216
338, 36, 212, 67432, 264, 325072, 836, 220
339, 36, 212, 67404, 264, 324356, 836, 220
340, 36, 212, 66824, 264, 354268, 836, 220
341, 36, 212, 67360, 264, 323512, 848, 216
342, 36, 212, 67212, 268, 321876, 836, 220
343, 36, 212, 66984, 268, 324000, 840, 216
344, 36, 212, 66872, 264, 324156, 844, 216
345, 36, 212, 66728, 268, 322980, 844, 216
346, 36, 216, 67372, 268, 323980, 836, 220
347, 36, 212, 66844, 268, 324600, 840, 216
348, 36, 212, 66872, 268, 373712, 844, 216
349, 36, 212, 67860, 264, 322880, 836, 220
350, 36, 212, 66564, 304, 323292, 844, 216
351, 36, 216, 66744, 268, 323956, 844, 220
352, 36, 212, 67208, 264, 323356, 844, 216
353, 36, 212, 66368, 264, 324464, 840, 220
354, 36, 212, 66524, 264, 346820, 840, 220
355, 36, 212, 67588, 264, 324364, 840, 220
356, 36, 212, 67108, 264, 325344, 840, 220
357, 36, 212, 66888, 268, 324120, 840, 216
358, 36, 216, 67080, 264, 324000, 840, 216
359, 36, 212, 67268, 264, 323284, 836, 220
360, 36, 212, 68592, 264, 326088, 840, 220
361, 36, 212, 66872, 264, 324256, 840, 220
362, 36, 212, 66508, 268, 324432, 836, 216
363, 36, 212, 66696, 264, 322736, 840, 220
364, 36, 212, 67124, 268, 324668, 840, 216
365, 36, 212, 66984, 264, 324280, 844, 220
366, 36, 212, 67204, 264, 327816, 848, 216
367, 36, 212, 67572, 268, 325608, 844, 220
368, 36, 216, 67396, 264, 326556, 840, 220
369, 36, 212, 67264, 268, 327488, 844, 216
370, 36, 212, 67068, 264, 327996, 836, 220
371, 36, 212, 67368, 264, 373136, 844, 220
372, 36, 212, 67800, 264, 325480, 836, 220
373, 36, 212, 67460, 268, 326828, 844, 216
374, 36, 212, 67556, 268, 326952, 844, 220
375, 36, 216, 67260, 264, 324404, 836, 220
376, 36, 212, 68008, 264, 326352, 844, 220
377, 36, 212, 68552, 268, 323044, 844, 220
378, 36, 212, 67100, 264, 323104, 856, 216
379, 36, 212, 68368, 264, 324324, 844, 220
380, 36, 212, 67312, 264, 322332, 840, 220
381, 36, 212, 67212, 264, 349548, 844, 216
382, 36, 212, 67864, 268, 368924, 844, 220
383, 36, 212, 68992, 264, 326084, 840, 220
384, 36, 212, 67164, 268, 325908, 836, 220
385, 36, 212, 66716, 264, 322368, 840, 220
386, 36, 212, 67632, 264, 323608, 836, 220
387, 36, 212, 66876, 264, 323088, 848, 220
388, 36, 212, 66940, 268, 323900, 840, 216
389, 36, 216, 67548, 268, 322924, 840, 216
390, 36, 212, 67208, 268, 323192, 840, 216
391, 36, 212, 67056, 268, 322540, 844, 216
392, 36, 212, 66832, 264, 323244, 844, 216
393, 36, 212, 66824, 268, 322840, 844, 216
394, 36, 212, 68104, 268, 325108, 840, 220
395, 36, 212, 85036, 300, 330148, 840, 220
396, 36, 212, 67152, 264, 323876, 840, 216
397, 36, 212, 67148, 272, 323496, 840, 220
398, 36, 212, 67420, 268, 325272, 840, 220
399, 36, 212, 67320, 264, 323720, 848, 216
400, 36, 212, 66808, 300, 324016, 844, 216
401, 36, 212, 66032, 268, 323016, 840, 216
402, 36, 216, 66788, 264, 322000, 836, 220
403, 36, 212, 67276, 268, 323456, 840, 216
404, 36, 212, 67376, 264, 324136, 840, 216
405, 36, 212, 66832, 264, 371980, 840, 220
406, 36, 212, 67024, 268, 324152, 844, 220
407, 36, 212, 67124, 268, 324296, 836, 220
408, 36, 212, 66900, 268, 323188, 844, 216
409, 36, 212, 67376, 264, 322644, 844, 220
410, 36, 212, 66816, 268, 345156, 840, 216
411, 36, 212, 67712, 264, 324444, 836, 220
412, 36, 212, 66468, 264, 327180, 844, 220
413, 36, 212, 67284, 264, 335520, 844, 216
414, 36, 216, 66960, 268, 324532, 844, 216
415, 36, 216, 67204, 268, 323860, 840, 216
416, 36, 212, 67236, 264, 324272, 836, 220
417, 36, 212, 67836, 272, 324864, 844, 216
418, 36, 212, 67768, 264, 323316, 844, 216
419, 36, 212, 66732, 264, 323932, 844, 216
420, 36, 212, 67124, 264, 324352, 840, 220
421, 36, 212, 67224, 268, 323452, 844, 216
422, 36, 212, 67372, 264, 346784, 836, 220
423, 36, 212, 67668, 264, 324832, 836, 220
424, 36, 216, 67680, 264, 323372, 844, 220
425, 36, 212, 66716, 308, 325152, 840, 216
426, 36, 212, 66876, 264, 323624, 836, 220
427, 36, 212, 67436, 264, 323096, 836, 220
428, 36, 212, 67420, 264, 368532, 844, 216
429, 36, 212, 67320, 264, 322740, 844, 216
430, 36, 212, 67028, 264, 322912, 840, 216
431, 36, 212, 67532, 264, 327628, 836, 220
432, 36, 216, 67512, 268, 321856, 844, 220
433, 36, 212, 66508, 268, 337892, 840, 216
434, 36, 212, 67420, 268, 321952, 840, 220
435, 36, 212, 67344, 304, 324256, 840, 220
436, 36, 212, 82276, 264, 344212, 844, 216
437, 36, 212, 67152, 268, 325244, 840, 220
438, 36, 212, 67460, 264, 323372, 844, 216
439, 36, 216, 66840, 308, 396620, 840, 220
440, 36, 216, 66336, 268, 325316, 840, 220
441, 36, 212, 67040, 268, 323648, 844, 220
442, 36, 212, 66628, 272, 324408, 840, 216
443, 36, 212, 67012, 304, 323016, 836, 220
444, 36, 212, 67360, 264, 325288, 840, 220
445, 36, 212, 67292, 264, 325140, 840, 220
446, 36, 212, 66736, 268, 324396, 840, 220
447, 36, 212, 67236, 264, 321400, 840, 216
448, 36, 212, 66524, 264, 323708, 844, 216
449, 36, 212, 66748, 264, 324040, 840, 216
450, 36, 212, 67924, 264, 324000, 844, 220
451, 36, 212, 68860, 264, 325416, 844, 220
452, 36, 212, 66680, 264, 324392, 836, 220
453, 36, 212, 66972, 268, 325344, 840, 220
454, 36, 216, 67400, 264, 321976, 840, 220
455, 36, 216, 67012, 268, 323956, 840, 216
456, 36, 212, 77272, 264, 324288, 836, 220
457, 36, 212, 67032, 264, 322780, 836, 220
458, 36, 212, 67272, 264, 323560, 840, 220
459, 36, 212, 67108, 264, 322912, 840, 220
460, 36, 212, 67152, 264, 324056, 840, 220
461, 36, 212, 67352, 264, 324180, 840, 220
462, 36, 212, 67108, 264, 411908, 840, 220
463, 36, 212, 67472, 304, 346656, 840, 220
464, 36, 212, 67136, 268, 323720, 844, 216
465, 36, 212, 66944, 264, 323752, 840, 216
466, 36, 212, 67500, 268, 323732, 840, 216
467, 36, 212, 67088, 264, 323980, 844, 216
468, 36, 212, 67012, 264, 324580, 836, 220
469, 36, 212, 68064, 264, 323752, 840, 216
470, 36, 212, 67348, 264, 323832, 848, 216
471, 36, 212, 66784, 264, 323920, 840, 220
472, 36, 212, 67228, 264, 324632, 836, 220
473, 36, 212, 67308, 268, 323608, 840, 220
474, 36, 212, 67556, 268, 324828, 840, 220
475, 36, 212, 67500, 268, 324880, 844, 220
476, 36, 212, 66524, 264, 323524, 836, 220
477, 36, 212, 91600, 304, 323848, 840, 216
478, 36, 216, 66644, 268, 323048, 844, 216
479, 36, 212, 66944, 268, 322404, 840, 216
480, 36, 212, 66984, 264, 321972, 844, 216
481, 36, 212, 66584, 264, 323064, 840, 216
482, 36, 212, 67028, 264, 322660, 840, 216
483, 36, 212, 67504, 264, 324744, 840, 220
484, 36, 212, 66424, 268, 325020, 844, 216
485, 36, 212, 64060, 264, 327000, 836, 220
486, 36, 212, 67252, 264, 324704, 840, 220
487, 36, 212, 66772, 268, 320924, 840, 220
488, 36, 212, 66988, 268, 324076, 844, 216
489, 36, 212, 66844, 268, 322800, 836, 220
490, 36, 212, 67004, 264, 323500, 832, 220
491, 36, 212, 67344, 268, 326408, 844, 220
492, 36, 212, 66856, 264, 324436, 840, 216
493, 36, 216, 67784, 268, 323252, 836, 220
494, 36, 212, 66884, 264, 322560, 844, 216
495, 36, 216, 66928, 276, 324336, 844, 220
496, 36, 212, 67100, 264, 403112, 844, 220
497, 36, 212, 67404, 264, 325412, 840, 220
498, 36, 212, 66552, 268, 323532, 840, 216
499, 36, 212, 67444, 268, 324224, 836, 220
500, 36, 212, 67572, 264, 323972, 840, 220
501, 36, 212, 67276, 264, 323780, 840, 220
502, 36, 212, 67072, 264, 324488, 840, 220
503, 36, 212, 66912, 264, 323432, 840, 216
504, 36, 212, 66928, 264, 347216, 840, 220
505, 36, 212, 67468, 268, 322700, 840, 216
506, 36, 212, 66760, 308, 322412, 836, 220
507, 36, 216, 67400, 264, 322660, 836, 220
508, 36, 212, 68108, 264, 324964, 840, 220
509, 36, 212, 66900, 268, 322684, 844, 216
510, 36, 212, 68064, 304, 323612, 840, 220
511, 36, 212, 66596, 268, 323804, 840, 216
512, 36, 212, 66792, 268, 324124, 840, 216
513, 36, 212, 67524, 264, 323328, 836, 220
514, 36, 212, 67156, 264, 322160, 844, 216
