PAE,kmain(),after recv(),after send()
100765,104017,287913,577016
103303,106200,253467,543159
75296,77103,214982,437939
71919,73791,189794,451721
120256,123209,269503,587017
74920,76764,200825,580538
101153,103912,250977,577803
72439,74259,209018,575136
73867,75755,216010,437850
78596,80407,201010,455344
73255,75199,193414,592501
70608,72415,187241,468125
90994,92825,210991,432722
73960,75783,193038,416657
77753,79576,198848,422657
71721,73613,194958,421676
72979,74787,195148,415640
72161,74089,196899,469315
79629,81457,204440,436515
73492,75268,334641,562064
103436,106272,285613,634878
96170,98062,219432,458180
73557,75437,193550,455376
73391,75187,198146,463929
71229,73113,192808,481911
326701,328581,460916,727067
108100,110887,276575,590817
72149,73916,191319,462299
75780,77644,228174,497145
100422,102266,242416,462033
97102,98994,246511,465030
74117,75929,193913,433247
70910,72693,191714,431847
98244,100979,256105,517422
70475,72250,189036,420075
79770,81513,212166,737794
83715,85615,206263,462626
87330,89251,210628,592440
72197,73984,190133,436716
74501,76329,219121,448272
76695,78555,202483,431879
108205,112227,261608,569330
95553,98308,243300,561374
107813,110504,272836,626700
73497,75369,198646,517637
101249,103993,272969,590160
73359,75231,196443,428688
70834,72617,194341,441260
81021,82921,210520,440635
72403,74319,195757,447775
123249,126017,272045,564553
74594,76482,201833,423056
73876,75651,197258,484203
72738,74626,192945,418920
74004,75844,189725,520206
96965,98761,219432,457382
69712,71547,192634,426489
71923,73770,195664,437782
78394,80193,199469,411562
132279,135353,310972,682195
75663,77555,200639,470469
84752,86596,204911,420925
71180,72992,203858,544135
140997,143934,291237,632784
73775,75707,195503,413478
78935,80807,237579,450264
99519,102311,247907,553463
72604,74496,196059,431790
81158,82973,219464,447884
89513,91337,281329,517346
73621,75409,193506,415253
101109,103925,248222,576972
70728,72596,194966,488003
115200,117923,260849,529203
79629,81461,208067,442652
99482,103981,259893,579420
72144,74012,320705,575934
71345,73242,196253,416947
70055,71922,192824,473705
75816,77612,200111,487265
116173,119058,282926,572082
103985,106866,263234,540076
70603,72479,195135,450522
101955,105005,243412,525887
102068,105110,268535,619091
71023,72871,188370,454795
52374,53771,133632,308136
23426,23973,123138,278163
32526,33353,95839,215834
28615,29412,72910,204599
22379,22847,57225,149732
65185,66815,170788,398692
106175,109201,245546,511274
73597,75457,198484,449284
71878,73694,191928,426780
84087,87024,252296,553273
90865,92753,214240,470002
193594,196701,322670,557162
73609,75510,194930,453960
72540,74376,195055,429301
69575,71439,193119,462089
82058,83990,205823,449716
71144,73052,221901,455852
74545,76389,365363,589535
72871,74706,197197,519468
89500,91405,212548,461331
77740,79600,203293,446742
102738,105603,267123,549416
104493,107575,255080,572368
73682,75546,217152,628092
101488,104199,248783,569790
72766,74674,219448,512169
72976,74880,229244,454981
70696,72504,192215,422297
71798,73662,192695,411126
74812,76599,191892,472672
74274,76013,194337,412994
73799,75667,197129,436854
70486,72274,185848,502559
103940,105841,230914,510152
106897,119138,264734,463582
104384,107487,269512,587114
116524,119655,275995,536869
82732,84515,211722,436491
74795,76599,212985,487797
71535,73311,194123,412845
72657,74509,189056,519787
102560,105328,253648,533923
71975,73799,201526,417952
72826,74577,196471,465688
98187,100862,240394,536267
80117,81973,212517,472454
99817,101721,229284,447186
72475,74335,194756,417952
100918,103702,265582,546164
75429,77260,193494,504060
73835,75639,201946,508914
73411,75251,250456,467455
71019,72818,193752,465442
77490,79374,208199,439516
72931,74698,221973,488095
72165,73976,217079,491739
96642,98485,216445,539668
74698,76615,199735,508002
100729,103525,250102,577117
71289,73137,195692,444200
97562,99414,220464,465055
70926,72750,188257,443337
74149,76029,197447,451168
100923,103578,247278,529655
101362,104183,276503,553390
107221,109904,275269,554875
101738,104780,275793,555714
68869,70709,187180,438843
90606,92417,237651,458732
72347,74223,215438,443442
73351,75235,193825,413349
87205,89037,210362,445068
92583,94447,214880,466830
96682,98534,218927,451963
73472,75328,345247,557162
70833,72726,192949,442111
199279,202402,343266,572267
70168,71927,206501,429314
71825,73544,192670,417113
113437,116165,261184,544683
73024,74763,195208,431359
72269,74154,192848,413163
73028,74905,205214,439670
71124,72968,252885,490940
101560,105001,272380,552688
73255,75054,192155,422867
73048,74981,213392,453496
70999,72980,192554,436244
89445,91301,228727,484243
118190,121071,266566,596160
97018,98890,220521,441159
73012,74848,194664,440671
72661,74626,194757,490420
97328,100035,260922,543287
102460,105337,264291,548686
75986,77809,196443,445226
100173,102976,255666,599448
72064,74061,196947,480753
44373,45450,146444,278422
66553,67326,124650,296305
30836,31620,104913,263623
37936,38834,118666,268614
47346,48030,111238,228055
29898,30571,135662,264366
30858,32022,82654,203281
33220,33988,81637,205762
20971,21435,96557,191551
33825,34541,84224,201066
31853,32579,80107,187221
33716,34499,118444,234385
34329,35096,113831,268051
33451,34210,85268,281812
32278,33014,82299,266798
23997,24465,98845,205026
22704,23164,62089,211458
31598,32229,85692,218394
34325,35007,93059,283606
103658,106446,266801,596842
102734,106546,253438,532999
102544,105292,310409,590140
75045,76929,192574,549581
73537,75441,199308,425445
75195,77107,207711,432517
126553,129478,275906,583188
70333,72157,240100,482726
94726,96598,227480,443571
88239,90095,205335,441066
73738,75683,199856,460201
104517,106381,225725,458350
