# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
173, 34, 3101, 2237, 222, 69467, 6550, 315
174, 36, 2951, 2175, 216, 72911, 6570, 293
175, 36, 3028, 2175, 222, 118511, 6665, 302
176, 36, 3010, 2184, 214, 69212, 6556, 312
177, 34, 2972, 2122, 218, 118747, 6620, 299
178, 38, 2986, 2167, 213, 69654, 6630, 311
179, 37, 3036, 2192, 222, 135448, 6663, 296
180, 35, 2971, 2134, 218, 69379, 6589, 316
181, 38, 2977, 2193, 216, 69038, 6566, 317
182, 35, 3239, 2225, 214, 70206, 6613, 310
183, 35, 3080, 2181, 217, 68843, 6634, 297
184, 38, 3028, 2199, 216, 172175, 6659, 301
185, 39, 2983, 2175, 218, 69114, 6649, 313
186, 36, 3004, 2126, 218, 121587, 6669, 296
187, 31, 2977, 2162, 214, 69246, 6568, 313
188, 38, 3004, 2344, 218, 228783, 6756, 311
189, 38, 3042, 2219, 220, 68790, 6540, 301
190, 37, 3020, 2168, 216, 69155, 6604, 315
191, 38, 3108, 2205, 222, 69171, 6583, 312
192, 38, 2988, 2178, 216, 69208, 6574, 292
193, 36, 2978, 2191, 220, 186278, 6701, 300
194, 36, 2988, 2190, 218, 69121, 6629, 298
195, 37, 3017, 2147, 216, 110875, 6661, 301
196, 34, 3016, 2245, 216, 69188, 6620, 299
197, 38, 2985, 2149, 224, 116100, 6701, 297
198, 37, 3009, 2189, 222, 69030, 6584, 313
199, 34, 3018, 2178, 216, 69389, 6538, 299
200, 38, 3131, 2179, 215, 69763, 6620, 299
201, 36, 3010, 2134, 214, 69018, 6543, 311
202, 39, 3005, 2126, 220, 110813, 6637, 311
203, 34, 2959, 2132, 218, 69000, 6582, 335
204, 36, 2956, 2128, 222, 120611, 6642, 303
205, 38, 3000, 2192, 218, 68958, 6628, 301
206, 38, 3014, 2142, 216, 112253, 6734, 300
207, 38, 2963, 2128, 216, 68861, 6639, 312
208, 36, 3052, 2207, 216, 68873, 6582, 298
209, 36, 3074, 2429, 214, 69120, 6680, 316
210, 35, 3014, 2150, 216, 68850, 6587, 314
211, 31, 3044, 2180, 216, 120353, 6598, 297
212, 36, 3022, 2177, 221, 68730, 6566, 299
213, 38, 2990, 2203, 220, 167630, 6665, 315
214, 38, 2982, 2204, 216, 69353, 6576, 313
215, 38, 2970, 2178, 220, 120884, 6614, 313
216, 38, 3010, 2114, 216, 68727, 6730, 301
217, 36, 2996, 2164, 218, 68875, 6566, 295
218, 36, 3143, 2209, 216, 69538, 6651, 300
219, 33, 2975, 2213, 220, 69010, 6562, 298
220, 38, 2950, 2164, 220, 141788, 6701, 297
221, 36, 2953, 2167, 214, 68820, 6588, 315
222, 36, 2998, 2174, 218, 122640, 6619, 313
223, 38, 3020, 2169, 220, 68961, 6566, 301
224, 38, 3006, 2166, 216, 114679, 6624, 311
225, 38, 3020, 2186, 222, 69633, 6567, 318
226, 36, 2983, 2159, 224, 68659, 6572, 310
227, 35, 3120, 2254, 217, 69131, 6665, 311
228, 41, 4206, 2418, 232, 3222557, 6702, 316
229, 38, 3038, 2233, 220, 111664, 6617, 317
230, 35, 2973, 2160, 218, 69278, 6613, 317
231, 38, 2939, 2128, 220, 110495, 6794, 296
232, 34, 2974, 2166, 220, 69199, 6599, 294
233, 38, 3060, 2187, 220, 112270, 6701, 315
234, 36, 2980, 2168, 218, 69012, 6542, 325
235, 35, 2971, 2177, 221, 69039, 6709, 313
236, 35, 3090, 2231, 218, 69498, 6620, 313
237, 36, 3000, 2162, 218, 69325, 6649, 298
238, 38, 3030, 2175, 226, 218896, 6665, 315
239, 36, 3032, 2231, 222, 69878, 6723, 317
240, 41, 3017, 2155, 222, 121514, 6625, 303
241, 39, 3003, 2189, 216, 70133, 6629, 321
242, 36, 3022, 2181, 218, 189578, 6663, 317
243, 36, 3018, 2215, 218, 70801, 6580, 313
244, 35, 2987, 2199, 218, 71775, 6631, 299
245, 35, 3159, 2229, 220, 69839, 6572, 300
246, 34, 3008, 2174, 218, 69821, 6560, 297
247, 38, 2942, 2188, 218, 183432, 6604, 315
248, 36, 3030, 2167, 217, 69383, 6633, 335
249, 34, 2935, 2183, 216, 115104, 6566, 300
250, 36, 2949, 2203, 222, 69597, 6574, 302
251, 39, 3015, 2195, 220, 122069, 6635, 301
252, 36, 3010, 2195, 218, 69720, 6636, 311
253, 36, 3004, 2188, 224, 69605, 6643, 301
254, 37, 3036, 2217, 224, 69405, 6649, 306
255, 36, 3002, 2184, 222, 69593, 6568, 297
256, 36, 2978, 2183, 226, 142433, 6620, 303
257, 37, 2985, 2175, 217, 69676, 6588, 315
258, 36, 3040, 2152, 222, 125846, 6616, 315
259, 34, 3002, 2181, 219, 69817, 6607, 308
260, 38, 2980, 2179, 215, 116732, 6645, 315
261, 36, 2986, 2223, 219, 70190, 6627, 339
262, 35, 2959, 2178, 220, 69569, 6568, 311
263, 38, 3258, 2241, 220, 69789, 6580, 295
264, 38, 2998, 2168, 220, 69575, 6600, 317
265, 39, 2991, 2175, 222, 117760, 6637, 303
266, 39, 3005, 2183, 218, 69591, 6632, 315
267, 37, 3667, 3072, 222, 194626, 7316, 305
268, 35, 3280, 2247, 228, 79477, 7260, 317
269, 36, 3361, 2223, 232, 289758, 11747, 343
270, 37, 2995, 2312, 224, 70593, 6738, 310
271, 38, 2964, 2182, 222, 89453, 7611, 316
272, 37, 3058, 2368, 220, 71834, 6578, 313
273, 37, 2987, 2181, 222, 70149, 6617, 316
274, 38, 2936, 2249, 222, 190127, 6600, 299
275, 37, 2973, 2227, 216, 69680, 6588, 313
276, 36, 2992, 2227, 218, 118944, 6587, 310
277, 36, 2998, 2146, 216, 69121, 6679, 317
278, 39, 3027, 2217, 226, 119899, 6599, 302
279, 39, 2947, 2185, 223, 69827, 6578, 303
