# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
177, 64, 6196, 5512, 394, 266298, 13676, 532
178, 68, 6346, 7544, 396, 168282, 16782, 532
179, 64, 6468, 5810, 390, 274548, 14032, 538
180, 66, 6212, 5634, 392, 170114, 13580, 558
181, 64, 9156, 6134, 396, 165854, 17928, 532
182, 64, 6774, 6190, 394, 169314, 13768, 536
183, 70, 6312, 7028, 392, 167760, 16626, 528
184, 62, 6520, 5868, 396, 274970, 14276, 566
185, 68, 6260, 5898, 392, 170264, 13850, 528
186, 68, 9164, 6220, 394, 279150, 18096, 532
187, 64, 6274, 5608, 392, 163814, 13678, 530
188, 44, 4846, 4310, 306, 208300, 10812, 410
189, 56, 5730, 4580, 312, 130182, 11958, 416
190, 48, 4884, 4080, 304, 128162, 10538, 436
191, 48, 5110, 6050, 306, 132924, 12994, 414
192, 52, 5134, 4658, 310, 129366, 11036, 414
193, 56, 4912, 4326, 308, 208814, 10550, 412
194, 48, 7140, 4780, 312, 129006, 14134, 418
195, 50, 4796, 4492, 300, 215628, 10666, 416
196, 50, 4982, 4476, 306, 131802, 10562, 432
197, 54, 5756, 4510, 306, 213274, 12110, 412
198, 52, 4834, 4292, 310, 129096, 10536, 418
199, 54, 4852, 5750, 302, 131612, 12958, 416
200, 56, 5468, 5100, 304, 131574, 11050, 412
201, 54, 4850, 4420, 312, 131932, 10574, 408
202, 50, 7112, 4962, 302, 727058, 12126, 416
203, 50, 4804, 4546, 308, 131240, 10628, 420
204, 50, 4944, 5606, 308, 196728, 13146, 416
205, 52, 5160, 4514, 308, 128512, 11074, 430
206, 48, 4838, 4214, 310, 195354, 10580, 412
207, 54, 7150, 5190, 302, 129886, 13920, 416
208, 44, 4904, 4396, 308, 129208, 10698, 416
209, 50, 5274, 4678, 308, 133478, 10736, 414
210, 52, 5764, 4746, 308, 129814, 12208, 416
211, 50, 4846, 4372, 300, 201674, 10560, 412
