trial,vm,rust,c
543,0.00030375,0.00009593,0.00009584
544,0.00031512,0.00009592,0.00009582
545,0.00030383,0.00009592,0.00009587
546,0.00030273,0.00009602,0.00009570
547,0.00030321,0.00009588,0.00009582
548,0.00030250,0.00009597,0.00009584
549,0.00030326,0.00009595,0.00010387
550,0.00034350,0.00009593,0.00009586
551,0.00030350,0.00009593,0.00009574
552,0.00030305,0.00009591,0.00009569
553,0.00030324,0.00009597,0.00009580
554,0.00030354,0.00009586,0.00009575
555,0.00030341,0.00009580,0.00009579
556,0.00031890,0.00009585,0.00009579
557,0.00039876,0.00009589,0.00009576
558,0.00030339,0.00009580,0.00009585
559,0.00030295,0.00009597,0.00009585
560,0.00030346,0.00009586,0.00009584
561,0.00030315,0.00009593,0.00009574
562,0.00031750,0.00009595,0.00009587
563,0.00032119,0.00009596,0.00009568
564,0.00031032,0.00009600,0.00009590
565,0.00039044,0.00010820,0.00009583
566,0.00030412,0.00009591,0.00009581
567,0.00030349,0.00009595,0.00009580
568,0.00030652,0.00009589,0.00009580
569,0.00030453,0.00009600,0.00009576
570,0.00030292,0.00009584,0.00009584
571,0.00032029,0.00009594,0.00009578
572,0.00030323,0.00009602,0.00009576
573,0.00030329,0.00009582,0.00009570
574,0.00030319,0.00009588,0.00009578
575,0.00030367,0.00009582,0.00009578
576,0.00030391,0.00009591,0.00009583
577,0.00030342,0.00009594,0.00009573
578,0.00030337,0.00010397,0.00009575
579,0.00030461,0.00009590,0.00009583
580,0.00031649,0.00009581,0.00009590
581,0.00030361,0.00009602,0.00009581
582,0.00030306,0.00009587,0.00009589
583,0.00030341,0.00009588,0.00009567
584,0.00032874,0.00009579,0.00009580
585,0.00030305,0.00009592,0.00010340
586,0.00031738,0.00009587,0.00009577
587,0.00030419,0.00009575,0.00009576
588,0.00030387,0.00009590,0.00009578
589,0.00030328,0.00009601,0.00009578
590,0.00038920,0.00009901,0.00010806
591,0.00030346,0.00009591,0.00009581
592,0.00031636,0.00009596,0.00009575
593,0.00031538,0.00009899,0.00009897
594,0.00031737,0.00009605,0.00009574
595,0.00030291,0.00009590,0.00009582
596,0.00030293,0.00009592,0.00009579
597,0.00030314,0.00009594,0.00009579
598,0.00034441,0.00009584,0.00009579
599,0.00030254,0.00009585,0.00009573
600,0.00034558,0.00009587,0.00009571
601,0.00040241,0.00009580,0.00009575
602,0.00030355,0.00009611,0.00009582
603,0.00030310,0.00009619,0.00010886
604,0.00030406,0.00009588,0.00009580
605,0.00030215,0.00009580,0.00009569
606,0.00030352,0.00009598,0.00009581
607,0.00033611,0.00009591,0.00009587
608,0.00030302,0.00009584,0.00009577
609,0.00030281,0.00009589,0.00009579
610,0.00042185,0.00009588,0.00009581
611,0.00030399,0.00009589,0.00009569
612,0.00030290,0.00009593,0.00009573
613,0.00030342,0.00009592,0.00009583
614,0.00031222,0.00009580,0.00009578
615,0.00030328,0.00009592,0.00010870
616,0.00030349,0.00009589,0.00009586
617,0.00030276,0.00009599,0.00009586
618,0.00030323,0.00009594,0.00009572
619,0.00030314,0.00009588,0.00009582
620,0.00030333,0.00009603,0.00009568
621,0.00030247,0.00010376,0.00010852
622,0.00040381,0.00009585,0.00009574
623,0.00030359,0.00009596,0.00009582
624,0.00030237,0.00009598,0.00009575
625,0.00030226,0.00009596,0.00009572
626,0.00030316,0.00009586,0.00009579
627,0.00030264,0.00009601,0.00010864
628,0.00030401,0.00009594,0.00011092
629,0.00031156,0.00009589,0.00009590
630,0.00030310,0.00009585,0.00009573
631,0.00030295,0.00009593,0.00009563
632,0.00039202,0.00010766,0.00009582
633,0.00030328,0.00010908,0.00009583
634,0.00030384,0.00009584,0.00009584
635,0.00030300,0.00009601,0.00009573
636,0.00030420,0.00009594,0.00009575
637,0.00030258,0.00009599,0.00009572
638,0.00030278,0.00009584,0.00010825
639,0.00032093,0.00012088,0.00010902
640,0.00030430,0.00009585,0.00009576
641,0.00030260,0.00016135,0.00010740
642,0.00031134,0.00009593,0.00009579
643,0.00030437,0.00009591,0.00009585
644,0.00030315,0.00009602,0.00009582
645,0.00030262,0.00010865,0.00015925
646,0.00035898,0.00009591,0.00009577
647,0.00030316,0.00009588,0.00009579
648,0.00030264,0.00009593,0.00009583
649,0.00030297,0.00009604,0.00009571
650,0.00034278,0.00009916,0.00009888
651,0.00047469,0.00009589,0.00009584
652,0.00030398,0.00009585,0.00009581
653,0.00030378,0.00009587,0.00009586
654,0.00030304,0.00009584,0.00009570
655,0.00030739,0.00009602,0.00009571
656,0.00030313,0.00009579,0.00009592
657,0.00035842,0.00009906,0.00015508
658,0.00031876,0.00009596,0.00009585
659,0.00030339,0.00009587,0.00009574
660,0.00030296,0.00009600,0.00009575
661,0.00030249,0.00009591,0.00009582
662,0.00030349,0.00009592,0.00009583
663,0.00033289,0.00009590,0.00009580
664,0.00031350,0.00009596,0.00009582
665,0.00030325,0.00009583,0.00009581
666,0.00030336,0.00009603,0.00009580
667,0.00030321,0.00009584,0.00009577
668,0.00030358,0.00009595,0.00009580
669,0.00034359,0.00009596,0.00009579
670,0.00030297,0.00009582,0.00009580
671,0.00033514,0.00009601,0.00009584
672,0.00030309,0.00009597,0.00009571
673,0.00030354,0.00009608,0.00009573
674,0.00030355,0.00009588,0.00009581
675,0.00033295,0.00009602,0.00009584
676,0.00030345,0.00009595,0.00009583
677,0.00030280,0.00009601,0.00009585
678,0.00031532,0.00019378,0.00011027
679,0.00033468,0.00009597,0.00009573
680,0.00030386,0.00009587,0.00009570
681,0.00031746,0.00009599,0.00009569
682,0.00030366,0.00009595,0.00009586
683,0.00030289,0.00009589,0.00009577
684,0.00030251,0.00009601,0.00009588
685,0.00030280,0.00012896,0.00009575
686,0.00030399,0.00009596,0.00009568
687,0.00031654,0.00009593,0.00009574
688,0.00031667,0.00010861,0.00009573
689,0.00039831,0.00009595,0.00009577
690,0.00030354,0.00009590,0.00009581
691,0.00030314,0.00009605,0.00009578
692,0.00030285,0.00010355,0.00010865
693,0.00030458,0.00009597,0.00009576
694,0.00031324,0.00009595,0.00009571
695,0.00030238,0.00009597,0.00009580
696,0.00030292,0.00009594,0.00009571
697,0.00030263,0.00009590,0.00009582
