PAE,kmain(),after recv(),after send()
39406,39900,80864,160208
38950,39406,79382,158042
39520,40014,79990,159714
39292,39786,79686,159828
46436,47158,92872,183312
38988,39482,79496,159790
38912,39406,79610,158650
49362,49932,97736,196194
39710,40166,80294,159942
48564,49172,97356,196042
48792,49324,97052,194446
49172,49780,97698,197562
38608,39102,79040,160436
39178,39672,79686,161956
49476,50198,98002,199500
49020,49628,96558,194978
38608,39102,79116,156826
38684,39178,78812,159372
38988,39482,79382,158688
39634,40242,80180,159524
50578,51072,100472,202996
48108,48678,96140,197296
39292,39786,80560,160398
38950,39406,79116,161804
44118,44612,86792,171646
39102,39520,78698,160740
38950,39444,79762,159638
38304,38798,80484,163818
64486,64980,106970,185858
39254,39748,79154,162412
39064,39558,78888,158422
46360,46854,90136,174686
44270,44764,86640,172406
52402,52972,103626,213294
49438,50084,98154,199956
38418,38874,78242,159068
51262,51908,99560,198398
48906,49438,96748,199386
49400,50046,98382,235068
51718,52250,100738,199272
41344,41838,81586,162108
40128,40622,80180,159372
39368,39824,79192,160132
44574,45144,89300,176054
38760,39254,78660,156902
39140,39634,79648,160208
39292,39786,81662,161386
38380,38874,78508,158802
38836,39330,79724,159638
38646,39140,79116,158384
39520,40014,80294,158612
39140,39596,79610,158802
30172,30552,62016,125096
39102,39596,79610,159106
66804,67298,107046,186808
38988,39482,79192,160702
45904,46474,91276,179056
38874,39330,80142,163818
38950,39406,79382,159790
38532,38988,79724,160094
38532,39026,79610,160816
39178,39634,79914,157472
38950,39406,80066,161006
38836,39330,79610,158840
38646,39102,79002,158612
39786,40242,80636,160550
38912,39368,79952,159068
39368,39824,80446,162070
39064,39558,79154,157852
38304,38760,78774,158802
38646,39140,79458,155306
38570,39026,79306,158802
42750,43206,92036,211812
23940,24206,50730,103474
23674,24016,51604,101308
39102,39558,82080,159866
23712,24016,51034,100662
23712,24016,50730,101650
40926,41458,84132,163590
39026,39482,81700,159068
38418,38912,78204,151050
40888,41382,84170,163438
40204,40698,83106,191482
40622,41192,83828,162754
39140,39596,84740,165110
38494,38950,79344,154242
39064,39558,82270,160892
38456,38912,78470,153064
38152,38646,77786,151810
41420,41952,84322,164008
40128,40622,80218,155040
38190,38646,78812,153140
23978,24282,51452,101764
53390,53960,105640,199842
40356,40850,80978,169176
38608,39102,78850,165756
48830,49438,98268,199462
48754,49362,97698,201362
50388,51034,98876,199880
50008,50578,97850,196688
39292,39748,80104,166098
39786,40242,79496,160094
39216,39710,78622,158194
64904,65398,104614,181640
45372,45904,85576,162222
39330,39786,78698,156522
47424,47880,90364,183312
38950,39444,79192,159638
39786,40280,80408,159296
38988,39444,79458,158004
39444,39900,80940,161918
48488,48944,91504,195282
39064,39520,79040,164312
44384,44916,89452,187454
39026,39520,79762,160436
38722,39216,79268,160474
38988,39444,79040,159144
38722,39216,78812,165224
38418,38912,82156,165870
39140,39634,82878,169746
39140,39634,78546,163856
44118,44574,86868,174534
38570,39026,79382,165832
39178,39634,83144,168682
39444,39938,80256,159714
38684,39178,78926,161234
39254,39710,79610,157700
38798,39292,78850,159372
39330,39786,79458,164692
38304,38798,78660,156560
38684,39254,79344,164578
44688,45220,91428,200450
41192,41724,84588,165452
41002,41496,83714,164198
38152,38646,78622,151126
39064,39520,82308,164312
23788,24092,50996,100244
51528,52022,100624,201704
40432,40888,80940,161994
47842,48450,95190,195396
48374,49020,96178,194142
50730,51338,98952,199006
51604,52212,98876,198360
44270,44764,86906,170544
39216,39710,80446,163742
38874,39368,79420,164426
39178,39672,79154,156636
39026,39520,79344,162108
38988,39444,79344,159524
38950,39444,79648,158992
38684,39178,79040,160664
38722,39178,79040,158270
38646,39140,79306,157016
30210,30552,61788,124640
38798,39292,81852,161804
40052,40508,80256,160588
40166,40622,80598,160778
39026,39520,79876,164274
38912,39406,79800,157586
38874,39368,79496,158308
39330,39824,80066,159562
41002,41458,82004,161120
42104,42598,90022,205656
43358,43852,88920,187682
44422,44954,91352,190874
41192,41724,83790,165794
39216,39672,82916,159600
23560,23864,51072,100320
23826,24130,51946,105298
23712,23978,51528,100776
39254,39824,83030,160664
38190,38646,78432,152684
23712,24016,50844,101194
38836,39330,81282,158954
38988,39444,82080,159866
47766,48260,94392,199652
55480,55936,95874,181450
47842,48412,95152,195928
48982,49552,98078,200222
38874,39368,80180,167200
49552,50160,97850,198056
39216,39710,82270,165870
39140,39634,79496,164768
49476,50008,96786,194674
38836,39292,79876,165490
49856,50502,97546,199538
38570,39026,78926,158232
49362,49970,97318,196422
38646,39140,78698,157054
48640,49172,96292,197866
38722,39216,79268,156218
50464,51072,97660,199120
71440,72314,127262,240046
39824,40280,80180,159600
38646,39102,78470,158080
48488,49096,96634,197258
30476,30818,61902,124792
39558,40014,79648,159258
39368,39824,80294,160094
38950,39444,79116,158384
49324,50008,97698,199538
44460,44954,87400,170696
48260,48754,96102,197866
39976,40470,80408,161538
39292,39786,78812,156560
39748,40242,79420,155990
38190,38684,77482,154318
38456,38912,78394,156636
39938,40394,80180,158042
37810,38266,77254,156750
39178,39672,80636,166098
46968,47538,93252,188100
49020,49590,97280,197144
39710,40204,84436,169822
48678,49210,96824,197448
48982,49590,97546,197562
50730,51300,100092,201818
39292,39748,79800,165452
48412,48906,95380,195738
39900,40356,80902,166972
47842,48336,95076,194750
24890,25194,50350,103892
39558,40052,80104,164274
39710,40204,83486,171190
40280,40774,81016,166326
48412,48906,100776,216372
54796,55784,108490,194560
19418,19646,41648,84170
24472,24738,50616,99446
19342,19570,41306,82992
38874,39330,79952,158270
23788,24054,49514,100624
38342,38798,82460,158536
38836,39292,81814,161158
41192,41724,87020,170164
40812,41344,84816,165300
41078,41534,84018,164350
38456,38950,79116,153596
40698,41230,84284,162450
42788,43282,86070,161766
40432,40926,83068,162298
40204,40698,82498,160512
40888,41382,84132,161766
40926,41420,83904,163704
19494,19722,42408,85082
38798,39254,81700,159182
23446,23712,50274,100586
40508,41002,82992,161462
41268,41800,84360,163400
40812,41116,70528,123044
42408,42864,84816,163400
44194,44650,89452,165528
23712,24016,51338,100890
40926,41420,84474,163476
38912,39406,81092,158878
43358,43814,87818,167770
52326,52896,111796,195510
40546,41078,84018,162716
45410,45904,91314,173660
41192,41724,84588,164730
39406,39900,81776,160398
41040,41572,84018,164502
23750,24054,50882,101004
23712,24016,51528,102106
38874,39368,82308,159144
38988,39444,81966,159410
23902,24168,51604,101156
23826,24130,51566,102182
48298,48792,127034,209874
24814,25118,49666,101156
40850,41306,81586,169442
39026,39482,82498,168264
39330,39824,79838,164996
49514,50084,98724,202882
40546,41040,81586,167580
43320,43852,87970,181412
38836,39330,83714,164996
38722,39216,81016,158650
38798,39292,78774,155952
38874,39368,79952,159486
23484,23750,49856,99826
38418,38874,79648,155762
23750,24054,49704,100928
38456,38950,78394,152266
38836,39330,81624,158688
38874,39330,79952,156750
23940,24206,49780,98838
40774,41306,84588,165224
39026,39520,83866,163172
42864,43358,88464,164882
19304,19494,41230,82992
41230,41762,83866,163932
40774,41268,84208,163704
40888,41344,85044,165528
40926,41420,84360,163362
40888,41420,84474,166288
41344,41876,85310,163856
38304,38798,78926,154964
23712,24016,49172,99370
23902,24206,49628,101194
19418,19646,41040,82384
23560,23826,49172,97964
25384,25726,51604,101916
43472,43928,86564,163818
42066,42598,84930,164160
39102,39558,81206,159068
48906,49400,96938,180310
40432,40926,80902,168378
39216,39710,80370,166972
39026,39482,79230,166136
40622,41116,81852,170392
39786,40280,79800,163552
40280,40736,80522,160892
39140,39634,79534,159714
39254,39900,80028,165376
39558,40052,80522,161120
39178,39634,80446,160702
38722,39216,78698,159258
39064,39558,79686,158954
39368,39824,80256,158118
42256,42712,83182,162184
39900,40394,80028,160360
38532,39026,79116,157472
38988,39444,79876,158422
44536,44954,87324,186162
30780,31160,62700,125818
40204,40698,80978,161234
45258,45828,90782,180804
39862,40318,79990,159904
39254,39710,79800,159790
38950,39444,79116,159372
39748,40242,79382,159600
38684,39140,79002,160626
38950,39406,78546,163400
40166,40660,79648,160854
39406,39900,79876,161234
39786,40280,80180,163286
40508,40964,81168,164502
39140,39596,79306,160436
39140,39634,79648,158878
39976,40470,80788,160398
39178,39672,79420,164350
40774,41268,80712,163020
38988,39444,79040,164578
39406,39900,79876,161044
38798,39216,78888,163476
40850,41344,81358,161880
39064,39558,79382,163666
39444,39938,79914,159942
40090,40546,80256,163666
38912,39406,79116,158916
42408,42902,88008,185364
40432,40926,80674,160702
38950,39444,78926,159106
38418,38912,77976,157928
39862,40356,79800,160740
37924,38418,77520,153140
40432,40926,80826,161880
37924,38418,77254,157320
38228,38684,77482,155914
39216,39710,78774,157548
39520,40014,79078,158460
38950,39406,78850,167542
39634,40128,79154,164122
38570,39064,79990,163666
39976,40432,80256,159752
40280,40812,80750,160170
38912,39406,78812,165566
38836,39330,79192,162944
40660,41154,81358,160512
40204,40698,80408,159600
39900,40318,81054,163248
39330,39824,79838,165832
38988,39482,78546,161652
42902,43396,83790,163970
38836,39330,79154,164996
39824,40318,82194,162260
44232,44688,84702,165034
38798,39254,78964,162374
40014,40508,80598,163134
51452,52022,100206,197942
39748,40204,80446,159638
38494,38988,78698,158878
38988,39444,80598,161006
39482,39976,80408,159258
38912,39406,78850,159828
39596,40090,80294,158802
38418,38912,78090,156750
38874,39330,79420,161842
38304,38798,78090,155724
31730,32072,63498,128896
39824,40280,80104,158156
39938,40356,80560,160056
38684,39140,78964,158042
39976,40546,80484,161994
38684,39178,79040,158536
38190,38684,78090,156066
38988,39444,79876,163362
39026,39520,79002,157282
39254,39710,80294,164350
38342,38836,78546,157472
45600,46170,91352,185858
38380,38874,77862,155192
38988,39482,79686,157624
39482,39938,79458,158878
39862,40318,80332,158080
38532,39026,78280,153786
38988,39482,79420,159980
39596,40090,80484,162906
40584,41040,81282,160626
40356,40850,81776,160398
38950,39444,79306,157320
39254,39748,79876,157206
38760,39254,79838,157738
39748,40242,80256,159524
40052,40508,80180,160170
39140,39634,79496,159448
31920,32300,64068,126882
40166,40622,80674,163096
50274,50806,98572,202730
49894,50426,98192,200792
38608,39102,78356,175636
48792,49362,96748,201248
39862,40356,80256,168682
39710,40204,79838,166706
39292,39786,79078,164008
44498,44992,88882,173242
44460,44954,87438,175370
49476,50008,97888,199690
39710,40204,79876,160322
38874,39368,78470,155724
39824,40318,79800,156408
38532,39026,78888,159068
38684,39178,78698,158042
31008,31350,61940,121752
38304,38760,78470,158498
38418,38874,78736,157928
37924,38418,77748,155724
30020,30400,60876,122474
38038,38494,77596,154356
38304,38798,77900,155420
39178,39672,79876,159828
31844,32224,64448,129124
39330,39824,79800,157966
39748,40242,80522,161500
40432,40926,80940,160398
41724,42218,89110,203148
40850,41344,84512,165528
38076,38570,80218,158840
38532,39026,80256,157434
38950,39444,80446,159486
38836,39292,79914,156978
23712,24016,50160,100130
23636,23940,49362,98724
40812,41344,82346,164844
40888,41420,82346,162450
38076,38532,79040,154812
41040,41572,85044,164350
39368,39786,80408,161006
23674,23978,49628,100320
43776,44194,89186,169632
38266,38760,79306,154394
38418,38912,79230,153824
41154,41686,83676,162336
31654,31996,65702,169404
24320,24586,51566,130530
47538,47994,94088,179208
40774,41230,80484,160892
39634,40128,80408,164160
31806,32186,63764,127262
38190,38646,77596,153900
38418,38874,78204,158574
37962,38418,77596,155610
53086,53618,105564,209912
28272,28500,60610,129922
23598,23902,50692,100662
38152,38684,80028,155306
23180,23484,50008,99066
19038,19266,41002,82270
25992,26220,59356,153444
38798,39292,80712,155876
38456,38950,78774,153482
38836,39292,82574,159562
39178,39672,82156,160740
39216,39710,81206,159600
41420,41876,87704,172216
40052,40508,83524,168302
38418,38912,78128,152950
40964,41420,83866,164806
41078,41534,84094,164540
48526,49020,95000,183502
50844,51452,100168,205504
31236,31578,63156,127072
49628,50160,97736,198702
24320,24624,49058,100662
46322,46930,92340,183388
57190,57912,111948,222946
48184,48792,97508,197372
48830,49438,96900,197334
49856,50464,99826,203338
39710,40166,80674,163438
45068,45638,90972,182818
39786,40280,80066,158194
44650,45220,90402,178904
38836,39254,79192,159752
39672,40166,79268,155154
49020,49590,98268,200412
38874,39330,78546,161766
49514,50084,98192,198322
38608,39140,78280,153406
40014,40432,79838,158042
39482,39976,78698,155420
39520,40014,78926,157890
38950,39444,78850,159068
39406,39900,79230,159372
38114,38570,77406,154318
40014,40508,79154,155420
39330,39824,79306,156712
46056,46550,92302,179778
48944,49590,91884,177650
38152,38608,77558,155040
39748,40204,79990,160018
38342,38836,78622,158346
38076,38570,78090,155230
66994,67488,106856,186238
39900,40356,79268,155990
39748,40242,80066,160056
44954,45448,98154,241338
38000,38494,78584,156940
38532,39026,80788,158992
40812,41344,82954,162906
40432,40926,82954,162678
45410,45904,91466,170810
39178,39672,81434,160094
23674,23978,51186,101574
41116,41572,83828,162450
40926,41458,83752,161006
23750,24054,51186,100206
38646,39102,80446,158878
23712,24016,50616,101384
40394,40888,82802,162336
40926,41420,84056,161272
41952,42408,84778,163476
40850,41306,83980,161652
38456,38950,79116,152342
40888,41344,83790,165604
40736,41192,84056,163628
40698,41154,84132,162906
40926,41420,84284,166820
39102,39596,82118,160436
39140,39634,81738,158194
24016,24320,51528,100776
24016,24320,51338,100624
