# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
211, 76, 336, 4098, 378, 37952, 1442, 1520
212, 74, 336, 4122, 374, 38060, 1436, 1510
213, 76, 336, 4108, 382, 38060, 1432, 1504
214, 76, 336, 4102, 374, 38012, 1434, 1508
215, 76, 334, 4090, 374, 38034, 1428, 1518
216, 78, 336, 4090, 378, 38008, 1428, 1512
217, 76, 336, 4094, 378, 38010, 1430, 1512
218, 76, 336, 4098, 378, 38026, 1442, 1522
219, 76, 336, 4104, 382, 37998, 1438, 1518
220, 76, 336, 4100, 376, 38018, 1436, 1514
221, 76, 336, 4098, 382, 38002, 1428, 1514
222, 76, 336, 4098, 378, 38008, 1438, 1516
223, 76, 336, 4104, 376, 38018, 1438, 1516
224, 76, 336, 4104, 378, 37998, 1446, 1518
225, 76, 336, 4102, 374, 38034, 1428, 1518
226, 76, 338, 4094, 374, 38008, 1436, 1518
227, 76, 336, 4098, 374, 38022, 1430, 1510
228, 76, 336, 4112, 374, 38042, 1428, 1520
229, 76, 336, 4090, 382, 38016, 1432, 1514
230, 74, 336, 4100, 382, 37998, 1438, 1516
231, 76, 334, 4100, 378, 37988, 1442, 1518
232, 76, 336, 4094, 376, 38012, 1434, 1512
233, 78, 336, 4090, 378, 37950, 1428, 1514
234, 78, 336, 4104, 374, 38074, 1432, 1522
235, 74, 342, 4092, 380, 37996, 1430, 1520
236, 76, 336, 4098, 378, 37890, 1436, 1526
237, 76, 336, 4106, 374, 37918, 1442, 1516
238, 76, 336, 4102, 374, 37950, 1428, 1510
239, 76, 336, 4094, 376, 37998, 1432, 1508
240, 76, 336, 4112, 378, 38022, 1428, 1518
241, 76, 336, 4086, 376, 38018, 1428, 1516
242, 74, 336, 4104, 378, 38004, 1436, 1518
243, 76, 340, 4094, 386, 38018, 1432, 1508
244, 76, 336, 4102, 378, 37998, 1442, 1522
245, 76, 336, 4102, 374, 38040, 1436, 1508
246, 76, 336, 4100, 378, 37998, 1436, 1512
247, 76, 334, 4122, 378, 38014, 1432, 1526
248, 76, 340, 4102, 380, 37986, 1428, 1508
249, 76, 338, 4094, 374, 38008, 1438, 1522
250, 76, 334, 4104, 374, 38062, 1434, 1512
251, 74, 336, 4094, 374, 38016, 1434, 1508
252, 80, 336, 4098, 378, 38002, 1432, 1508
253, 76, 336, 4094, 374, 38026, 1428, 1516
254, 76, 336, 4104, 372, 38022, 1432, 1510
255, 76, 336, 4104, 374, 38036, 1430, 1518
256, 74, 336, 4094, 374, 37984, 1442, 1518
257, 76, 336, 4090, 378, 38088, 1428, 1522
258, 78, 336, 4104, 378, 38082, 1428, 1514
259, 76, 340, 4102, 378, 38070, 1428, 1512
260, 76, 340, 4090, 374, 38002, 1428, 1520
261, 78, 332, 4108, 378, 38040, 1434, 1508
262, 76, 336, 4098, 374, 38026, 1436, 1510
263, 76, 336, 4094, 376, 37986, 1430, 1518
264, 76, 336, 4104, 376, 38012, 1428, 1510
265, 76, 336, 4098, 378, 37994, 1428, 1516
266, 76, 340, 4108, 384, 38016, 1438, 1516
267, 76, 332, 4088, 374, 37992, 1430, 1520
268, 76, 336, 4090, 382, 37998, 1432, 1512
269, 76, 338, 4096, 378, 37946, 1432, 1518
270, 76, 336, 4098, 378, 38016, 1428, 1518
271, 76, 340, 4092, 380, 37988, 1428, 1522
272, 76, 340, 4104, 384, 38006, 1428, 1518
273, 76, 336, 4102, 378, 38000, 1432, 1506
274, 80, 334, 4094, 374, 38036, 1432, 1518
275, 76, 336, 4094, 382, 38004, 1428, 1512
276, 76, 336, 4102, 380, 38078, 1432, 1518
277, 76, 340, 4094, 378, 38058, 1432, 1528
278, 76, 336, 4104, 378, 38036, 1428, 1516
279, 76, 336, 4102, 378, 38002, 1430, 1516
280, 76, 332, 4092, 380, 38012, 1428, 1506
281, 76, 338, 4096, 378, 37988, 1442, 1512
282, 76, 336, 4188, 374, 38158, 1428, 1516
283, 76, 336, 4112, 374, 38040, 1428, 1518
284, 76, 336, 4122, 378, 38102, 1432, 1512
285, 76, 340, 4122, 384, 37974, 1432, 1508
286, 76, 338, 4128, 378, 37992, 25510, 1564
287, 76, 340, 4116, 380, 38116, 1432, 1512
288, 76, 336, 4118, 376, 38026, 1434, 1508
289, 76, 336, 4112, 378, 37980, 1438, 1516
290, 76, 336, 4114, 376, 37990, 1428, 1508
291, 78, 338, 4108, 382, 38046, 1430, 1508
292, 76, 336, 4116, 380, 38012, 1428, 1516
293, 76, 336, 4112, 374, 38050, 1430, 1514
294, 76, 336, 4090, 378, 38006, 1434, 1508
295, 76, 340, 4122, 374, 38008, 1428, 1516
296, 78, 336, 4114, 378, 37984, 1442, 1522
297, 76, 336, 4102, 374, 38012, 1432, 1512
298, 76, 338, 4124, 374, 37940, 1432, 1514
299, 76, 340, 4118, 374, 38098, 1428, 1526
300, 76, 336, 4112, 384, 37978, 1432, 1514
301, 78, 336, 4136, 378, 38012, 1430, 1522
302, 76, 338, 4124, 374, 37940, 1432, 1518
303, 76, 336, 4104, 378, 37998, 1430, 1514
304, 80, 330, 4122, 374, 38012, 1436, 1510
