Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,  134, 726,4434, 238,15582, 916, 852
Hyper-V,  134, 732,4426, 232,15616, 836, 850
Hyper-V,  134, 756,4462, 236,15544, 908, 852
Hyper-V,  134, 722,4422, 236,15526, 838, 860
Hyper-V,  134, 730,4422, 236,15550, 926, 856
Hyper-V,  134, 744,4436, 234,15508, 834, 858
Hyper-V,  134, 732,4458, 232,15612, 838, 852
Hyper-V,  148, 702,4448, 246,15548, 914, 858
Hyper-V,  134, 736,4424, 232,15860, 892, 856
Hyper-V,  134, 678,4572, 234,15498, 834, 854
Hyper-V,  134, 700,4444, 236,15556, 898, 858
Hyper-V,  134, 694,4442, 232,15516,1324, 852
Hyper-V,  148, 704,4482, 246,15530, 890, 846
Hyper-V,  148, 726,4458, 252,15502, 834, 850
Hyper-V,  134, 664,4460, 236,15888,1348, 852
Hyper-V,  148, 656,4502, 246,15584, 898, 852
Hyper-V,  134, 746,4450, 236,15630, 834, 848
Hyper-V,  134, 712,4848, 236,15494,1340, 854
Hyper-V,  134, 702,4444, 238,15496, 924, 850
Hyper-V,  134, 690,4446, 234,15492, 838, 848
Hyper-V,  134, 688,4438, 238,15548, 900, 854
Hyper-V,  148, 696,4472, 250,15514,1312, 852
Hyper-V,  148, 724,4480, 250,15514, 836, 854
Hyper-V,  134, 694,4448, 232,15562, 924, 852
Hyper-V,  134, 702,4454, 234,15538, 914, 852
Hyper-V,  134, 700,4450, 234,15586, 834, 856
Hyper-V,  134, 740,4462, 236,15566, 904, 850
Hyper-V,  136, 678,4450, 236,15574, 926, 852
Hyper-V,  148, 716,4490, 250,15572, 838, 850
Hyper-V,  134, 666,4440, 240,15536,1336, 852
Hyper-V,  148, 714,4482, 250,15556, 898, 856
Hyper-V,  148, 740,4480, 248,15560, 898, 848
Hyper-V,  134, 696,4460, 234,15514,1322, 856
Hyper-V,  304, 848,34240, 234,15520, 892, 850
Hyper-V,  134, 776,4458, 232,15510, 910, 846
Hyper-V,  148, 718,4488, 250,15622,1104, 856
Hyper-V,  134, 752,4454, 236,15546, 836, 846
Hyper-V,  148, 664,4474, 250,15550, 904, 852
Hyper-V,  134, 742,4440, 236,15504,1850, 846
Hyper-V,  134, 592,4458, 240,15554, 832, 850
Hyper-V,  148, 768,4452, 248,15548,1066, 846
Hyper-V,  148, 812,4466, 248,15502, 900, 854
Hyper-V,  134, 718,4428, 238,15468, 838, 858
Hyper-V,  134, 650,4440, 234,15928, 894, 852
Hyper-V,  134, 636,4448, 232,15600, 832, 856
Hyper-V,  134, 680,4416, 236,15550, 920, 848
Hyper-V,  134, 720,4420, 238,15546, 904, 852
Hyper-V,  134, 798,4430, 242,15472, 834, 846
Hyper-V,  134, 606,4418, 232,15520, 836, 854
Hyper-V,  148, 722,4458, 250,15502, 894, 848
Hyper-V,  148, 678,4480, 246,15492, 944, 844
Hyper-V,  148, 700,4468, 250,15478, 840, 850
Hyper-V,  136, 584,4412, 234,15480, 842, 854
Hyper-V,  134, 680,4436, 238,15476, 924, 854
Hyper-V,  134, 650,4440, 236,15626, 934, 854
Hyper-V,  134, 718,4430, 232,15574, 916, 844
Hyper-V,  134, 712,4432, 238,15530, 896, 844
Hyper-V,  134, 680,4464, 240,15508, 898, 844
Hyper-V,  148, 698,4482, 258,15518, 936, 846
Hyper-V,  298, 872,31886, 238,15478,1332, 844
Hyper-V,  148, 670,4478, 252,15512,1338, 850
Hyper-V,  148, 652,4446, 248,15480,1244, 860
Hyper-V,  134, 670,4456, 232,15526, 888, 860
Hyper-V,  304, 816,35046, 238,15540, 936, 852
Hyper-V,  134, 676,4430, 236,15480, 834, 854
Hyper-V,  134, 684,4460, 236,15556, 892, 856
Hyper-V,  134, 678,4478, 232,15540, 906, 850
Hyper-V,  134, 680,4444, 234,15516, 888, 852
Hyper-V,  134, 624,4448, 238,15540,1132, 852
Hyper-V,  148, 730,4468, 250,15522,1324, 852
Hyper-V,  134, 666,4510, 236,15530, 902, 854
Hyper-V,  134, 676,4452, 240,15502, 900, 846
Hyper-V,  134, 666,4448, 236,15532, 898, 854
Hyper-V,  134,1038,4462, 238,15562, 840, 858
Hyper-V,  134, 636,4448, 236,15512, 906, 848
Hyper-V,  134, 662,4420, 238,15470, 838, 848
Hyper-V,  134, 612,4456, 234,15542, 888, 856
Hyper-V,  134, 668,4426, 240,15520, 916, 846
Hyper-V,  306, 824,33698, 232,15544,1116, 852
Hyper-V,  134, 700,4442, 234,15472,5334, 852
Hyper-V,  134, 622,4448, 240,15540, 898, 850
Hyper-V,  148, 668,4468, 250,15510,1346, 858
Hyper-V,  148, 658,4456, 250,15538, 958, 852
Hyper-V,  134, 602,4522, 238,15528, 838, 850
Hyper-V,  134, 698,4454, 232,15460, 844, 854
Hyper-V,  148, 672,4480, 246,15468, 834, 854
Hyper-V,  134,1098,4450, 234,15446,1212, 858
Hyper-V,  134, 826,4420, 232,16080, 914, 854
Hyper-V,  134, 666,4442, 234,15620, 832, 872
Hyper-V,  134, 666,4438, 236,15522, 836, 856
Hyper-V,  134, 752,4450, 240,15536, 914, 846
Hyper-V,  134, 668,4686, 232,15516, 838, 844
Hyper-V,  148, 812,4484, 250,15518,1158, 850
Hyper-V,  134, 652,4470, 234,15526, 928, 854
Hyper-V,  134, 674,4440, 234,15490,1026, 882
Hyper-V,  136,1098,4448, 236,15746, 914, 844
Hyper-V,  134, 702,4452, 234,15540, 900, 854
Hyper-V,  134, 634,4452, 232,15530, 836, 854
Hyper-V,  148, 694,4474, 250,15484, 922, 852
Hyper-V,  148, 704,4480, 248,15508,1130, 854
Hyper-V,  134, 722,4456, 232,15532, 918, 856
Hyper-V,  134, 642,4446, 242,15516, 838, 854
Hyper-V,  134, 740,4426, 236,15502, 926, 856
Hyper-V,  134, 666,4534, 236,15506, 896, 852
Hyper-V,  148, 668,4456, 246,15510,1124, 844
Hyper-V,  134,1098,4448, 232,15484,1332, 852
Hyper-V,  134, 622,4410, 234,15500, 902, 848
Hyper-V,  134, 664,4448, 236,15508, 928, 844
Hyper-V,  134, 636,4458, 232,15524, 902, 852
Hyper-V,  134, 678,4464, 234,15492,1346, 848
Hyper-V,  134, 636,4452, 236,15592, 902, 848
Hyper-V,  134, 676,4446, 238,15620,1354, 848
Hyper-V,  134, 614,4450, 236,15562, 898, 848
Hyper-V,  148, 770,4466, 250,15616, 898, 852
Hyper-V,  134, 854,4448, 236,15560, 904, 850
Hyper-V,  134, 682,4462, 234,15604, 910, 846
Hyper-V,  134, 648,4480, 240,16066,1168, 856
Hyper-V,  134, 868,4614, 238,15614,1340, 842
Hyper-V,  148, 656,4506, 252,15890,1016, 850
Hyper-V,  134, 678,4466, 238,15592, 930, 854
Hyper-V,  148, 668,4496, 246,15606, 904, 850
Hyper-V,  148, 780,4508, 248,15576, 908, 854
Hyper-V,  148, 676,4534, 250,15614, 898, 848
Hyper-V,  146, 632,4496, 246,15582, 938, 852
Hyper-V,  148, 700,4516, 252,15608,1316, 846
Hyper-V,  148, 606,4514, 256,15636, 908, 856
Hyper-V,  148, 716,4500, 256,15570,1322, 858
Hyper-V,  134, 654,4488, 238,15644, 918, 852
Hyper-V,  148, 796,4486, 248,15592,1346, 846
Hyper-V,  148, 780,4506, 254,15908, 904, 852
Hyper-V,  134, 780,4466, 234,15612,1318, 858
Hyper-V,  134, 606,4466, 238,15560,1334, 846
Hyper-V,  134, 676,4484, 236,15586, 916, 854
Hyper-V,  134, 666,4468, 238,15568, 906, 848
Hyper-V,  148, 670,4502, 248,15644,1342, 852
Hyper-V,  134, 640,4476, 232,15586, 838, 850
Hyper-V,  148, 672,4536, 250,15608, 902, 848
Hyper-V,  134, 674,4472, 236,15528,1328, 852
Hyper-V,  134, 616,4454, 236,15590,1052, 854
Hyper-V,  134, 670,4476, 242,15594,1342, 854
Hyper-V,  134, 638,4484, 236,15610, 908, 856
Hyper-V,  148, 660,4490, 248,15582,1324, 848
Hyper-V,  148, 612,4502, 250,15608, 902, 854
Hyper-V,  148, 618,4516, 250,15638, 922, 850
Hyper-V,  134, 632,4478, 236,15618,1336, 850
Hyper-V,  148, 714,4506, 246,15598,1340, 846
Hyper-V,  134, 650,4478, 236,15584, 900, 852
