Platform, cli, lgdt, prot, in 32, id map, long, in 64
KVM Noserial,   27, 169,55952, 161,246186, 665, 155
KVM Noserial,   86, 161,56044, 193,247772, 654, 158
KVM Noserial,   27, 169,56136, 185,248435, 665, 155
KVM Noserial,   27, 169,121520, 196,250224, 662, 155
KVM Noserial,   27, 169,56178, 196,248299, 677, 155
KVM Noserial,   27, 158,56213, 193,247856, 663, 166
KVM Noserial,   81, 162,54334, 191,239555, 647, 159
KVM Noserial,   86, 172,55397, 199,247579, 663, 169
KVM Noserial,   27, 169,55397, 196,248384, 663, 169
KVM Noserial,   27, 169,56154, 164,247529, 674, 158
KVM Noserial,   27, 169,56041, 196,312210, 685, 168
KVM Noserial,   86, 158,56293, 193,328554, 663, 169
KVM Noserial,   86, 172,55539, 185,247778, 666, 166
KVM Noserial,   27, 172,55587, 193,274553, 644, 156
KVM Noserial,   86, 169,56136, 188,248093, 660, 166
KVM Noserial,   27, 169,55218, 182,247344, 663, 166
KVM Noserial,   75, 172,55842, 196,247193, 663, 166
KVM Noserial,   27, 169,55619, 199,247856, 663, 166
KVM Noserial,   27, 158,56210, 193,247562, 674, 155
KVM Noserial,   86, 161,55741, 196,245267, 663, 169
KVM Noserial,   34, 171,61583, 202,282612, 663, 169
KVM Noserial,   27, 172,55628, 185,247222, 663, 155
KVM Noserial,   38, 158,56041, 196,245767, 663, 166
KVM Noserial,   27, 169,55501, 196,245683, 663, 169
KVM Noserial,   38, 158,56035, 196,247749, 674, 155
KVM Noserial,   27, 169,56038, 196,247256, 674, 155
KVM Noserial,   75, 172,55619, 196,246486, 663, 166
KVM Noserial,   86, 161,55928, 175,246311, 663, 169
KVM Noserial,   38, 161,57072, 196,247496, 666, 166
KVM Noserial,   38, 158,55812, 196,246861, 674, 155
KVM Noserial,   27, 168,89440, 196,247879, 666, 166
KVM Noserial,   27, 172,55625, 196,247425, 663, 166
KVM Noserial,   86, 161,56050, 193,272198, 647, 159
KVM Noserial,   81, 159,54227, 188,239804, 647, 156
KVM Noserial,   29, 162,54138, 190,239683, 647, 159
KVM Noserial,   31, 159,54300, 188,269290, 674, 155
KVM Noserial,   81, 162,53996, 185,240433, 647, 156
KVM Noserial,   27, 158,55747, 196,246524, 666, 166
KVM Noserial,   86, 172,55664, 196,246418, 674, 158
KVM Noserial,   86, 161,56038, 196,248189, 674, 158
KVM Noserial,   86, 169,55759, 196,248355, 663, 166
KVM Noserial,   86, 172,55905, 196,246664, 663, 166
KVM Noserial,   27, 169,55373, 199,247559, 674, 155
KVM Noserial,   81, 159,53898, 187,240477, 647, 159
KVM Noserial,   31, 159,54332, 187,280379, 647, 159
KVM Noserial,   86, 161,55848, 193,248527, 663, 169
KVM Noserial,   75, 172,55640, 175,247360, 674, 155
KVM Noserial,   27, 169,55459, 196,247517, 663, 169
KVM Noserial,   75, 172,55866, 193,247202, 663, 169
KVM Noserial,   75, 169,55625, 196,247461, 671, 155
KVM Noserial,   86, 241,55878, 196,249199, 674, 155
KVM Noserial,   27, 169,55976, 196,249413, 671, 158
KVM Noserial,   38, 158,56017, 199,318968, 698, 165
KVM Noserial,   38, 158,55990, 182,248607, 663, 169
KVM Noserial,   27, 169,55845, 193,248156, 660, 166
KVM Noserial,   86, 164,55785, 185,247793, 663, 169
KVM Noserial,   27, 169,55286, 185,247104, 674, 158
KVM Noserial,   27, 169,55970, 193,248171, 674, 158
KVM Noserial,   27, 169,55723, 185,247401, 677, 155
KVM Noserial,   86, 158,55676, 196,247074, 663, 166
KVM Noserial,   38, 158,55732, 196,246563, 663, 166
KVM Noserial,   27, 169,56309, 196,248480, 662, 155
KVM Noserial,   86, 172,55765, 199,246581, 654, 155
KVM Noserial,   27, 158,55776, 196,248216, 662, 158
KVM Noserial,   27, 158,55503, 196,248171, 662, 158
KVM Noserial,   86, 161,55387, 182,247436, 654, 155
KVM Noserial,   86, 172,55513, 196,248301, 651, 166
KVM Noserial,   86, 169,55147, 175,247859, 654, 166
KVM Noserial,   27, 169,55925, 185,246468, 662, 155
KVM Noserial,   86, 161,55904, 196,304941, 682, 165
KVM Noserial,   27, 169,55539, 193,248323, 665, 155
KVM Noserial,   27, 169,88329, 202,255852, 676, 168
KVM Noserial,   34, 168,57711, 202,256485, 679, 175
KVM Noserial,   27, 175,58230, 202,255339, 685, 165
KVM Noserial,   82, 178,57276, 202,256027, 682, 165
KVM Noserial,   82, 178,88417, 193,248510, 662, 158
KVM Noserial,   86, 158,55800, 199,283055, 682, 165
KVM Noserial,   75, 172,56368, 196,247086, 654, 166
KVM Noserial,   86, 161,55470, 185,248191, 651, 169
KVM Noserial,   86, 172,55961, 193,252738, 654, 166
KVM Noserial,   75, 172,56231, 196,247488, 662, 158
KVM Noserial,   27, 169,55819, 193,248093, 654, 169
KVM Noserial,   86, 169,55685, 196,248432, 651, 155
KVM Noserial,   27, 169,55590, 193,247793, 663, 166
KVM Noserial,   27, 169,55753, 196,247645, 674, 155
KVM Noserial,   29, 162,54528, 185,240202, 647, 159
KVM Noserial,   31, 159,54216, 191,239668, 647, 156
KVM Noserial,   38, 161,55530, 196,248251, 663, 166
KVM Noserial,   27, 169,56027, 196,247933, 677, 155
KVM Noserial,   27, 169,56225, 185,247796, 663, 169
KVM Noserial,   75, 169,56083, 193,247903, 663, 169
KVM Noserial,   86, 169,55643, 185,248432, 671, 155
KVM Noserial,   86, 172,55703, 196,247778, 660, 169
KVM Noserial,   86, 158,55958, 175,247734, 663, 166
KVM Noserial,   38, 158,55776, 185,246949, 663, 166
KVM Noserial,   27, 169,55934, 196,285814, 688, 165
KVM Noserial,   89, 171,57680, 199,256363, 695, 165
KVM Noserial,   82, 178,57472, 202,257311, 685, 168
KVM Noserial,   86, 161,55661, 199,306323, 688, 165
KVM Noserial,   75, 169,55896, 196,279531, 688, 165
KVM Noserial,   27, 169,55750, 182,248794, 663, 166
KVM Noserial,   89, 171,57824, 202,278025, 666, 166
KVM Noserial,   75, 169,56243, 199,248106, 674, 158
KVM Noserial,   27, 169,55459, 196,248215, 663, 166
KVM Noserial,   27, 172,55536, 182,246789, 674, 155
KVM Noserial,   27, 169,55783, 196,247912, 660, 166
KVM Noserial,   27, 172,55554, 196,247874, 674, 158
KVM Noserial,   27, 169,56359, 196,246709, 660, 166
KVM Noserial,   38, 158,55946, 196,310173, 695, 168
KVM Noserial,   86, 172,87978, 202,334084, 663, 166
KVM Noserial,   75, 169,56163, 193,247559, 677, 155
KVM Noserial,   27, 169,55010, 193,247253, 674, 158
KVM Noserial,   27, 169,55441, 196,247309, 663, 169
KVM Noserial,   38, 161,55464, 185,247745, 663, 166
KVM Noserial,   27, 169,55643, 196,247734, 663, 169
