PAE,kmain(),after recv(),after send()
21210,21450,57330,119130
21720,21930,56970,116820
20910,21120,57720,120240
20880,21120,57780,118080
21000,21210,57480,121080
20880,21090,58110,118590
21000,21210,56130,117720
20880,21120,56100,117060
21060,21300,56670,119700
20910,21120,58020,117900
20940,21180,56820,118230
21420,21660,57630,119010
20970,21180,57000,118110
20910,21120,56850,118770
21150,21360,57600,117960
20970,21180,56760,118500
20850,21060,76260,138480
20970,21180,57120,118860
21000,21210,56460,118020
21450,21660,57210,119730
21030,21270,56910,119520
21360,21570,56640,117270
20820,21030,56790,118200
21090,21300,56430,116130
21600,21840,56760,121440
21000,21240,56700,117570
20880,21090,58320,123690
21630,21870,58050,120570
20940,21180,57300,118680
20970,21210,57480,118950
21060,21270,56790,119580
20940,21180,56550,119040
21060,21300,56340,120300
20880,21120,56940,119340
21540,21780,57120,117990
21120,21330,57000,121770
21060,21270,56880,119130
21000,21210,56730,120390
20940,21210,56820,116790
21060,21240,56760,120240
21690,21930,58890,119880
20820,20970,57000,117360
21090,21330,57090,119610
20970,21210,57810,119790
21030,21270,55980,117900
21000,21210,57270,117870
21030,21240,56790,117270
20820,21030,57660,120780
21180,21420,57000,120090
20850,21090,55890,116340
21450,21690,57600,118050
20940,21180,56190,119160
21720,21930,57540,120810
21300,21540,58320,121560
21660,21870,57150,119880
20910,21060,56250,115680
21030,21270,56160,118230
21030,21240,56880,117840
20970,21210,57570,117720
39210,39390,77160,141210
21420,21660,59940,119100
20850,21060,57900,118740
21030,21240,56820,118290
21000,21180,56310,117900
21030,21180,56820,119580
21030,21240,56610,115350
21120,21360,56670,118980
21420,21570,57090,118350
22350,22590,58140,117270
21090,21300,56580,117030
21060,21270,57390,121860
21000,21240,56160,120360
20850,21120,57630,119370
21150,21360,56190,117360
21480,21720,57750,119460
20880,21090,58440,119460
20880,21120,57060,120630
20910,21150,56940,119460
20940,21180,55470,116490
20970,21180,58410,119460
20940,21180,57780,118710
20940,21150,56610,119970
20940,21090,56670,117720
20850,21090,56820,118380
21030,21270,58230,119940
21150,21360,56670,118710
20970,21180,55950,116670
21690,21930,57000,116370
22380,22620,58410,118830
20970,21180,57510,117960
21030,21240,56700,118980
20940,21150,57210,117270
21180,21420,57900,117600
21840,22050,57300,118440
21030,21240,57180,119040
20910,21060,57000,120690
21030,21240,57900,123090
