# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
309, 32, 144, 1732, 162, 16202, 588, 640
310, 34, 144, 1758, 162, 16172, 590, 642
311, 32, 144, 1734, 162, 16190, 588, 636
312, 32, 144, 1730, 162, 16270, 590, 636
313, 32, 144, 1732, 162, 16204, 590, 638
314, 34, 144, 1732, 160, 16222, 590, 638
315, 32, 144, 1730, 164, 16258, 590, 638
316, 32, 144, 1734, 160, 16170, 590, 636
317, 32, 146, 1730, 162, 16152, 590, 636
318, 34, 144, 1734, 162, 16280, 588, 636
319, 34, 144, 1732, 162, 16176, 590, 644
320, 32, 146, 1730, 162, 16154, 588, 638
321, 32, 144, 1732, 164, 16152, 590, 640
322, 32, 144, 1734, 162, 16254, 590, 642
323, 32, 146, 1734, 162, 16130, 586, 638
324, 32, 144, 1734, 162, 16146, 586, 638
325, 32, 144, 1732, 162, 16166, 590, 644
326, 32, 144, 1734, 158, 16216, 588, 634
327, 34, 144, 1728, 162, 16156, 586, 638
328, 32, 144, 1732, 162, 16196, 590, 636
329, 32, 146, 1732, 162, 16158, 592, 636
330, 34, 146, 1728, 162, 16160, 588, 636
331, 34, 144, 1732, 162, 16180, 590, 636
332, 32, 144, 1756, 162, 28594, 588, 642
333, 34, 144, 1738, 162, 58730, 624, 678
334, 34, 154, 1832, 172, 17252, 622, 680
335, 34, 156, 1834, 172, 17232, 620, 678
336, 34, 152, 1840, 174, 17244, 620, 680
337, 34, 154, 1842, 172, 17164, 620, 678
338, 34, 154, 1834, 172, 17196, 624, 682
339, 34, 152, 1842, 174, 17214, 622, 678
340, 36, 152, 1836, 170, 17142, 626, 680
341, 34, 156, 1840, 172, 17130, 622, 680
342, 34, 154, 1838, 172, 17216, 622, 676
343, 34, 154, 1836, 170, 17172, 622, 680
344, 34, 152, 1834, 172, 17158, 618, 682
345, 36, 152, 1834, 172, 17154, 622, 678
346, 34, 152, 1836, 170, 17140, 622, 678
347, 34, 152, 1834, 172, 17242, 620, 682
348, 34, 152, 1836, 172, 17236, 622, 682
349, 36, 154, 1834, 172, 17132, 620, 680
350, 34, 152, 1836, 170, 17136, 618, 684
351, 34, 154, 1844, 170, 17150, 622, 682
352, 34, 154, 1828, 176, 17120, 622, 678
353, 36, 152, 1832, 172, 17128, 620, 680
354, 36, 152, 1836, 172, 17200, 620, 678
355, 34, 154, 1836, 174, 17216, 622, 678
356, 36, 152, 1836, 172, 17198, 618, 680
357, 34, 156, 1834, 172, 17134, 620, 682
358, 34, 154, 1838, 172, 17128, 618, 682
359, 34, 152, 1836, 170, 17126, 622, 680
360, 36, 152, 1834, 172, 17230, 622, 678
361, 34, 152, 1838, 172, 17214, 620, 676
362, 34, 152, 1836, 172, 17178, 624, 678
363, 34, 152, 1838, 172, 17216, 620, 684
364, 34, 154, 1832, 172, 17102, 620, 680
365, 34, 154, 1836, 172, 17136, 624, 676
366, 34, 154, 1828, 172, 17130, 620, 680
367, 36, 152, 1836, 170, 17110, 622, 680
368, 34, 152, 1838, 170, 17106, 622, 682
369, 34, 152, 1834, 174, 17224, 622, 678
370, 34, 152, 1832, 172, 17208, 624, 678
371, 36, 152, 1834, 172, 17158, 618, 682
372, 34, 152, 1836, 172, 17224, 622, 680
373, 34, 154, 1838, 172, 17116, 622, 682
374, 36, 150, 1832, 174, 17142, 622, 678
375, 34, 154, 1836, 172, 17176, 622, 682
376, 34, 154, 1836, 172, 17126, 618, 684
377, 34, 154, 1834, 172, 17212, 620, 680
378, 34, 154, 1834, 170, 17190, 620, 684
379, 36, 154, 1836, 172, 17182, 622, 678
380, 34, 154, 1838, 172, 17132, 622, 680
381, 34, 154, 1834, 172, 17224, 624, 680
382, 34, 154, 1834, 172, 17132, 622, 680
383, 36, 152, 1834, 172, 17164, 618, 678
384, 34, 156, 1834, 172, 17140, 622, 680
385, 34, 152, 1836, 174, 17124, 620, 682
386, 34, 152, 1836, 172, 17156, 620, 680
387, 34, 154, 1838, 172, 17194, 622, 676
388, 36, 152, 1838, 170, 17216, 622, 680
389, 36, 152, 1838, 172, 17182, 624, 680
390, 34, 156, 1834, 172, 17152, 618, 680
391, 36, 152, 1840, 172, 17140, 620, 678
392, 36, 152, 1842, 172, 17098, 624, 680
393, 32, 144, 1862, 164, 16278, 586, 640
394, 32, 144, 1734, 162, 16232, 588, 640
395, 32, 146, 1738, 160, 16128, 590, 636
396, 32, 144, 1728, 164, 16146, 592, 638
397, 34, 144, 1732, 162, 16166, 590, 642
398, 32, 146, 1736, 162, 16134, 588, 636
399, 32, 144, 1734, 164, 16150, 586, 640
400, 32, 144, 1730, 162, 16178, 588, 638
401, 32, 146, 1734, 160, 16218, 590, 636
402, 32, 144, 1732, 164, 16260, 590, 638
403, 34, 144, 1734, 162, 16236, 588, 644
404, 32, 146, 1734, 162, 16154, 590, 636
405, 32, 144, 1730, 162, 16168, 588, 636
406, 32, 144, 1734, 160, 16128, 590, 644
407, 32, 144, 1734, 164, 16218, 590, 638
408, 34, 144, 1730, 162, 16216, 590, 640
409, 34, 144, 1732, 162, 16200, 588, 640
410, 32, 144, 1732, 162, 16238, 588, 634
411, 32, 144, 1734, 160, 16186, 592, 644
412, 32, 146, 1730, 162, 16212, 586, 640
413, 32, 144, 1734, 162, 16154, 588, 636
414, 34, 144, 1738, 160, 16136, 592, 642
415, 34, 144, 1734, 162, 16150, 590, 640
416, 32, 144, 1732, 162, 16150, 586, 638
417, 32, 144, 1734, 160, 16192, 590, 638
418, 32, 144, 1732, 162, 16152, 586, 638
419, 32, 144, 1732, 162, 16170, 590, 646
420, 32, 144, 1734, 162, 16146, 590, 644
421, 34, 144, 1732, 162, 16150, 588, 636
422, 32, 144, 1736, 158, 16132, 588, 640
423, 32, 144, 1730, 164, 16218, 590, 636
424, 32, 144, 1732, 162, 16166, 590, 642
425, 32, 146, 1734, 162, 16174, 592, 638
426, 34, 144, 1730, 164, 16150, 590, 638
427, 32, 144, 1732, 162, 16174, 586, 636
428, 32, 144, 1740, 162, 16176, 592, 634
429, 32, 144, 1734, 164, 16198, 586, 642
430, 34, 144, 1728, 162, 16178, 590, 636
431, 34, 144, 1738, 160, 16152, 588, 636
432, 32, 144, 1734, 162, 16164, 586, 640
433, 32, 144, 1730, 162, 16166, 590, 636
434, 34, 144, 1734, 160, 16168, 588, 638
435, 32, 144, 1764, 162, 16180, 588, 636
436, 32, 146, 1732, 162, 16150, 588, 638
437, 32, 144, 1734, 164, 16238, 590, 640
438, 32, 144, 1736, 162, 16150, 588, 642
439, 34, 146, 1730, 160, 16164, 588, 636
440, 34, 144, 1732, 162, 16236, 590, 636
441, 32, 144, 1734, 162, 16126, 588, 640
442, 34, 144, 1730, 164, 16232, 588, 638
443, 34, 144, 1730, 162, 16146, 586, 638
444, 32, 146, 1734, 162, 16124, 588, 638
445, 32, 144, 1730, 164, 16154, 586, 640
446, 32, 144, 1730, 162, 16224, 590, 634
447, 32, 146, 1728, 162, 16122, 588, 640
448, 32, 144, 1728, 164, 16162, 586, 640
449, 32, 144, 1730, 162, 16160, 588, 638
450, 32, 146, 1732, 162, 16132, 588, 634
451, 32, 144, 1734, 164, 16148, 590, 640
